branch_id,variable,lag,f_statistic,p_value,is_significant,var_diff_order,target_diff_order
A,ta,1,0.7130142735356733,0.39845649238859016,False,0,1
A,ta,2,326.2580690393549,7.657197953992483e-140,True,0,1
A,ta,3,229.86506077621686,2.7771271158286405e-146,True,0,1
A,ta,4,166.47684638043467,3.8914561638031875e-140,True,0,1
A,ta,5,128.85730029209356,1.6809945144638108e-134,True,0,1
A,wd,1,4.036067256611817,0.04455281288806898,True,0,1
A,wd,2,2.3632709689226408,0.0941418980604319,False,0,1
A,wd,3,2.097514641880364,0.0982540282681454,False,0,1
A,wd,4,2.390150092864801,0.04855825039732554,True,0,1
A,wd,5,4.4667524816247886,0.0004548177503103702,True,0,1
A,ws,1,16.197296466925785,5.731546783765413e-05,True,0,1
A,ws,2,26.597004196319123,2.928038645061416e-12,True,0,1
A,ws,3,24.35325934610606,1.0162488006039923e-15,True,0,1
A,ws,4,29.862239764203498,8.52203696058452e-25,True,0,1
A,ws,5,31.17751344296465,1.037501386193219e-31,True,0,1
A,rn_day,1,1.2098524850481907,0.2713764570725572,False,0,1
A,rn_day,2,0.9441068596401047,0.3890466725640819,False,0,1
A,rn_day,3,0.7481544616225527,0.5232591700249289,False,0,1
A,rn_day,4,0.7110852244466228,0.5842149527015648,False,0,1
A,rn_day,5,0.8207448962172919,0.5345993532650798,False,0,1
A,rn_hr1,1,0.20589590733627705,0.6500089678715898,False,0,1
A,rn_hr1,2,0.19445402470885587,0.8232858058459003,False,0,1
A,rn_hr1,3,0.11757923927515722,0.9498217206072486,False,0,1
A,rn_hr1,4,0.3385298410319212,0.8521244852133201,False,0,1
A,rn_hr1,5,0.29074524828717596,0.918339989609084,False,0,1
A,hm,1,4.320332894078126,0.03767407730255487,True,0,1
A,hm,2,142.1965949178978,5.507024523491337e-62,True,0,1
A,hm,3,105.40355557210717,1.2527281153089945e-67,True,0,1
A,hm,4,76.60948814545145,1.6376452110884745e-64,True,0,1
A,hm,5,56.24837289271623,3.2163242420245186e-58,True,0,1
A,si,1,48.72471257862157,3.050846710487823e-12,True,0,1
A,si,2,390.4434238545162,1.2724901162964442e-166,True,0,1
A,si,3,299.78023296370986,8.501998096469662e-190,True,0,1
A,si,4,226.35883982914945,8.673074062221493e-190,True,0,1
A,si,5,168.0228789109344,3.9539468152702145e-175,True,0,1
A,ta_chi,1,1.077462661290689,0.2992802004551837,False,0,1
A,ta_chi,2,330.3765916148914,1.445658233496397e-141,True,0,1
A,ta_chi,3,244.93090158142954,1.0614833268907804e-155,True,0,1
A,ta_chi,4,179.88735093715337,2.615574968290889e-151,True,0,1
A,ta_chi,5,143.04394859884275,2.9090573794883006e-149,True,0,1
A,month,1,5.977610852122575,0.014498399693465414,True,1,1
A,month,2,3.2932132458094876,0.03715733585054899,True,1,1
A,month,3,2.383901263627778,0.06725399088035719,False,1,1
A,month,4,1.7820241612570331,0.12932447041697204,False,1,1
A,month,5,1.6239413723559213,0.14982360555900529,False,1,1
A,hour,1,0.9314505313991472,0.3344996145554193,False,0,1
A,hour,2,280.7068952429194,1.0092560328706968e-120,True,0,1
A,hour,3,194.57940721908088,3.880053479182721e-124,True,0,1
A,hour,4,142.44925236549793,4.8259020194410275e-120,True,0,1
A,hour,5,87.35552079584741,4.912630972931525e-91,True,0,1
A,dayofweek,1,0.12949306145643846,0.7189625690561998,False,0,1
A,dayofweek,2,2.3362173075689814,0.09672284306650887,False,0,1
A,dayofweek,3,1.4450850628510252,0.22750359362501452,False,0,1
A,dayofweek,4,1.4509182254725757,0.21434793743153702,False,0,1
A,dayofweek,5,1.159776673062613,0.3263303513694768,False,0,1
A,HDD_18,1,0.9407499342811512,0.3320984464662444,False,0,1
A,HDD_18,2,554.250116002018,4.017978567216525e-234,True,0,1
A,HDD_18,3,388.83731529577494,1.5790498876806815e-244,True,0,1
A,HDD_18,4,287.6101581624658,6.083720163512255e-240,True,0,1
A,HDD_18,5,229.646212077718,3.0019117899669396e-238,True,0,1
A,HDD_20,1,0.8864193233122296,0.3464624710183185,False,0,1
A,HDD_20,2,508.6635798645715,1.858077475637098e-215,True,0,1
A,HDD_20,3,358.69106122775287,4.349940290852264e-226,True,0,1
A,HDD_20,4,265.82023163769077,3.5727190852146886e-222,True,0,1
A,HDD_20,5,212.3235075557784,1.3197523174782196e-220,True,0,1
A,wind_chill,1,0.16600650991646212,0.6836905935102526,False,0,1
A,wind_chill,2,265.7197980778822,2.0694573113660555e-114,True,0,1
A,wind_chill,3,230.4582248589046,1.1813590139878182e-146,True,0,1
A,wind_chill,4,168.5210309588804,7.675354593465913e-142,True,0,1
A,wind_chill,5,130.60980239670562,2.507669998076129e-136,True,0,1
A,heating_season,1,7.212926315117592,0.007244860266262255,True,1,1
A,heating_season,2,4.671550567649151,0.009369413822922903,True,1,1
A,heating_season,3,3.275411011006018,0.020125232818327343,True,1,1
A,heating_season,4,2.686879754766015,0.029586458758773998,True,1,1
A,heating_season,5,3.167540850982541,0.0073407619112226515,True,1,1
