branch_id,feature,lag,p_value,f_statistic,is_significant
A,ta,1,3.869977101314689e-90,405.2977103991466,True
A,ta,2,3.5559561282423553e-262,1204.0173407685081,True
A,ta,3,5.567350585832286e-258,1191.3329915169954,True
A,ta,4,1.671305443780079e-237,1103.0270799109335,True
A,ta,5,1.1537648715647118e-222,1040.2603571355787,True
A,ta,6,3.448177905499348e-202,951.048474467435,True
A,ta,7,1.570761957855777e-190,902.2470620473205,True
A,ta,8,5.534561725811213e-192,913.9480353735005,True
A,ta,9,3.4401657271442947e-193,924.386383929984,True
A,ta,10,9.33312324114387e-204,978.1883010866071,True
A,ta,11,9.999946870490412e-207,996.6689902012197,True
A,ta,12,1.3149578846293192e-203,986.7600825106018,True
A,hm,1,0.01967791868683101,5.440244150098613,True
A,hm,2,2.7109064136059856e-77,352.6035382232144,True
A,hm,3,1.6940149064798155e-87,405.15320421879886,True
A,hm,4,1.588473316962782e-81,382.61141095477274,True
A,hm,5,2.7298945376449416e-73,349.10335655935796,True
A,hm,6,3.254596009483094e-64,311.1993131489586,True
A,hm,7,1.3079440456623906e-57,284.37683052724384,True
A,hm,8,4.348844952312217e-59,295.18930732825004,True
A,hm,9,4.655937197237497e-62,312.95205979302193,True
A,hm,10,1.8496374759691363e-69,351.5705291016908,True
A,hm,11,1.9655813782927298e-73,374.0395943177097,True
A,hm,12,3.7060342797592306e-71,366.947850295598,True
A,ws,1,5.428663881058994e-07,25.105186959775935,True
A,ws,2,3.0300991879128985e-23,103.70172356918555,True
A,ws,3,1.2580431898925061e-28,132.9388349857145,True
A,ws,4,1.1742792925207314e-36,174.42430700960617,True
A,ws,5,5.146570431876563e-41,198.7934131450631,True
A,ws,6,6.366615844964764e-41,202.22810024027396,True
A,ws,7,1.760979821917469e-42,213.27769253526048,True
A,ws,8,1.274324736117013e-43,222.27274048519138,True
A,ws,9,5.048430837153521e-46,237.18134115762,True
A,ws,10,2.0081093320545319e-47,247.29727534872924,True
A,ws,11,2.0512025901332644e-47,250.64091625928737,True
A,ws,12,1.1774864576569269e-46,250.3125725504642,True
A,wd,1,0.0009354936680337461,10.951074164950814,True
A,wd,2,7.742920435997378e-06,23.537463248433184,True
A,wd,3,1.6887061946350122e-06,29.58318943713273,True
A,wd,4,2.3322394930890074e-06,31.578862377407678,True
A,wd,5,3.06221113793265e-08,43.402410172394625,True
A,wd,6,1.878319861315406e-09,51.98441821721271,True
A,wd,7,2.8361007111011046e-09,53.58880252731704,True
A,wd,8,1.5260829316136964e-09,57.368226278427656,True
A,wd,9,2.6575857089763496e-10,63.6344233334476,True
A,wd,10,3.711576545725072e-12,75.55387214377623,True
A,wd,11,1.3015306937244978e-14,90.54856529394401,True
A,wd,12,8.839125862900668e-14,88.69244289779071,True
A,rn_day,1,0.038201564011269264,4.2960249182202075,True
A,rn_day,2,0.018365659042455604,7.994545429137238,True
A,rn_day,3,0.04653908654447645,7.974623335851589,True
A,rn_day,4,0.1395246857713868,6.932017750243071,False
A,rn_day,5,0.26866010425104236,6.406371265426164,False
A,rn_day,6,0.3476926814940966,6.71823197204705,False
A,rn_day,7,0.18071470818825763,10.141150742350309,False
A,rn_day,8,0.2102776003091608,10.851135157158968,False
A,rn_day,9,0.3879022631587177,9.552601760361831,False
A,rn_day,10,0.5578988883048412,8.730063270370126,False
A,rn_day,11,0.6526123705353142,8.666856044596589,False
A,rn_day,12,0.722483468359384,8.769481587254765,False
A,rn_hr1,1,0.9985913006725455,3.1171445550827104e-06,False
A,rn_hr1,2,0.5107915822175357,1.3435872691299877,False
A,rn_hr1,3,0.6645673426465255,1.5772140626943183,False
A,rn_hr1,4,0.5836757198803768,2.847417101303603,False
A,rn_hr1,5,0.7844918315220928,2.4467537790026617,False
A,rn_hr1,6,0.8959701390933781,2.243766836133229,False
A,rn_hr1,7,0.9343524144158336,2.4011840552778354,False
A,rn_hr1,8,0.9593470002612747,2.5502393811063584,False
A,rn_hr1,9,0.694239135146324,6.449340836807382,False
A,rn_hr1,10,0.7774101723055928,6.435882746780636,False
A,rn_hr1,11,0.8431223878635599,6.430916774240489,False
A,rn_hr1,12,0.8870024798340248,6.530782967222053,False
A,si,1,5.097563633858493e-72,322.0821764342127,True
A,si,2,5.35260869716617e-168,770.3134231479729,True
A,si,3,1.5538580249116538e-206,954.194954563015,True
A,si,4,3.2582121563592988e-211,981.7249503009257,True
A,si,5,9.927012765024672e-198,925.0804950110517,True
A,si,6,7.676075743961063e-177,833.793560981179,True
A,si,7,8.20398227145488e-160,759.9296039937219,True
A,si,8,9.5790674188698e-159,759.7744415191802,True
A,si,9,1.4960509954088287e-168,809.9999853751128,True
A,si,10,1.1112546382226872e-177,857.0495363990221,True
A,si,11,6.451963326720848e-179,867.3525642568617,True
A,si,12,4.278755870300496e-174,849.3542262887745,True
A,ta_chi,1,3.8001484561908504e-87,391.5529468049938,True
A,ta_chi,2,8.226546728679e-273,1252.996728112567,True
A,ta_chi,3,1.0977992359144025e-271,1254.4990066692837,True
A,ta_chi,4,5.117074445560337e-255,1183.8233225075485,True
A,ta_chi,5,1.9679234211073937e-236,1103.8424895629507,True
A,ta_chi,6,1.1803961790330895e-214,1008.6893960850931,True
A,ta_chi,7,2.226496190303062e-201,952.4764975836339,True
A,ta_chi,8,2.8121943021435643e-212,1007.9919567048266,True
A,ta_chi,9,8.72555393271797e-225,1070.9182699850592,True
