branch_id,feature,lag,p_value,f_statistic,is_significant
B,ta,1,1.8751648365133037e-70,314.89439815467705,True
B,ta,2,4.445893320399871e-298,1369.356753782967,True
B,ta,3,0.0,1440.4441472765582,True
B,ta,4,8.294830793469858e-305,1413.469780826737,True
B,ta,5,7.560288568660234e-269,1253.5020283129445,True
B,ta,6,1.3310628556624871e-246,1156.3600753291937,True
B,ta,7,2.57000809730351e-262,1234.3988888978051,True
B,ta,8,3.5585723977490966e-264,1248.2705148561765,True
B,ta,9,0.0,1527.3719797259444,True
B,ta,10,0.0,1708.8109840426782,True
B,ta,11,0.0,1713.8850653902707,True
B,ta,12,0.0,1686.2427950983763,True
B,hm,1,1.6039954479191067e-15,63.499598090641754,True
B,hm,2,1.5995104206929046e-73,335.23802838642024,True
B,hm,3,1.7233913351121792e-81,377.4172438440406,True
B,hm,4,9.091083101209034e-75,351.3216390816108,True
B,hm,5,2.0935198125436674e-66,317.1113814511863,True
B,hm,6,3.73051283200866e-61,296.92425724860664,True
B,hm,7,1.8826319151187674e-61,302.37380177612636,True
B,hm,8,1.3130942779042693e-69,344.5580709929358,True
B,hm,9,4.568132568045384e-87,430.3367149212524,True
B,hm,10,1.5740832213552794e-105,520.8081311639827,True
B,hm,11,3.938693180476975e-107,532.3878788084639,True
B,hm,12,1.792520578913693e-103,519.2208637962697,True
B,ws,1,5.5052433219494315e-30,129.41393830942,True
B,ws,2,6.640200400341983e-57,258.7084163137066,True
B,ws,3,2.134823777876767e-73,340.044003560448,True
B,ws,4,3.2613560057505253e-80,376.5356549328828,True
B,ws,5,6.99406716379289e-82,388.9910974489788,True
B,ws,6,1.3071575187541563e-85,410.83713242129767,True
B,ws,7,6.208751238618039e-87,421.3715379839269,True
B,ws,8,7.03194283973462e-98,476.68977154224194,True
B,ws,9,1.0716760786228654e-111,545.412474858547,True
B,ws,10,1.708722675813607e-122,600.0609883532134,True
B,ws,11,5.2767124920743956e-123,606.6568363595751,True
B,ws,12,5.938133356270569e-128,633.9438404851367,True
B,wd,1,7.11651672867261e-20,83.28142525635316,True
B,wd,2,2.8221174092476547e-31,140.6853008505447,True
B,wd,3,1.0661858383771393e-40,188.87866022044466,True
B,wd,4,8.742975436911392e-46,216.8921917195704,True
B,wd,5,1.804206209966399e-46,224.27407926511262,True
B,wd,6,1.863265406720771e-51,251.60334535540892,True
B,wd,7,8.365955882174423e-54,266.5281530713699,True
B,wd,8,1.2011604534313428e-62,311.90638668300926,True
B,wd,9,2.7084940833349285e-69,346.9900466613477,True
B,wd,10,3.91759702729331e-76,382.9866882506232,True
B,wd,11,2.0874127934598267e-75,383.3497507905732,True
B,wd,12,1.4093817349902333e-77,397.30306033383147,True
B,rn_day,1,0.08590261468602352,2.9495285459603755,False
B,rn_day,2,0.0023708788968302336,12.088989100071592,True
B,rn_day,3,0.003420382106280911,13.651277735579857,True
B,rn_day,4,0.012818038626528304,12.70370883048022,True
B,rn_day,5,0.0472683687537458,11.215630523241634,True
B,rn_day,6,0.13275159488149788,9.812989132280775,False
B,rn_day,7,0.022886763611397846,16.2549160448514,True
B,rn_day,8,0.0075131020785846065,20.8656173295883,True
